+----------------------+------------------------------------------------------------+-------------------------------------------------+--------------------------------+--------+
|          ID          |                            NAME                            |                     FAMILY                      |          PRODUCT IDS           | STATUS |
+----------------------+------------------------------------------------------------+-------------------------------------------------+--------------------------------+--------+
| fd800n45ob5uggkrooi8 | debian-9-v20211213                                         | debian-9                                        | f2e2skin3siruagto51r           | READY  |
| fd801d06bg23g3klnkhd | wordpress-v20230807                                        | wordpress                                       | f2e796fkgkjuiuk4pilm,          | READY  |
|                      |                                                            |                                                 | f2e3eaei7io34qcf9rgp           |        |
| fd801iv1gjj2mbvjolim | ubuntu-20-04-lts-gpu-a100-v20231130                        | ubuntu-2004-lts-a100                            | f2epo5ej9m8ktbjcep92           | READY  |
| fd803574efskf64jq17g | atlas-biomed-1576590486                                    | atlas-biomed                                    | f2ej7cppkd0tgcgfv2if           | READY  |
| fd803lrp5ob4raaggfdk | lemp-v20211103                                             | lemp                                            | f2e2k33chv8tj53p8cbd,          | READY  |
|                      |                                                            |                                                 | f2ebhtsvcfc5803kqs5i           |        |
| fd804isoc4oc5fkc1rbt | pentestit-nemesida-waf-v20221022                           | pentestit-nemesida-waf                          | f2efb33ogsm7kttciv42,          | READY  |
|                      |                                                            |                                                 | f2en2qqan063u407f37v           |        |
| fd804mpmp6l0hm4ju14d | container-optimized-image-gpu-v20211111                    | container-optimized-image-gpu                   | f2em4flkr1drhov6hjp2           | READY  |
| fd804nmi5gak42ae1dcq | debian-10-v20211124                                        | debian-10                                       | f2eplucasqut7r1kfafp           | READY  |
| fd805b64a6b0utmkk6bg | almalinux-v20230626                                        | almalinux-8                                     | f2ek28k9mj9832tigkcd           | READY  |
| fd8067j7av2lcq8um6ki | lemp-v20230508                                             | lemp                                            | f2e19l145t96ss0lrlbo,          | READY  |
|                      |                                                            |                                                 | f2esv771rfdv8d4o446o           |        |
| fd806aa6rq1b2cdqe03u | fedora-35-v20230410                                        | fedora-35                                       | f2ekes304viace72no15           | READY  |
| fd807ed79a4kkqfvd1mb | ubuntu-18-04-lts-vgpu-v20211013                            | ubuntu-1804-lts-vgpu                            | f2er8s0d2c32p41bg1g2           | READY  |
| fd807fub99q3d7huhf9o | debian-10-gpu-v20220131                                    | debian-10-gpu                                   | f2efapmchqsk7bhosmel           | READY  |
| fd807vm443j75cnt06hn | lamp-v20230717                                             | lamp                                            | f2erlivdgkb8e31h1roq,          | READY  |
|                      |                                                            |                                                 | f2eet2p9bqb4alr7t1rl           |        |
| fd8088g36g82clahr33l | postgreprof-postgres-pro-enterprise-database-12-v20220630  | postgreprof-postgres-pro-enterprise-database-12 | f2e6g6sabaa0oogt3ee7,          | READY  |
|                      |                                                            |                                                 | f2ef1cb5nk8c1e1djju5           |        |
| fd808b5modcbs1emou1c | redmine-v20211020                                          | redmine                                         | f2eeld18js58djg1hq1b,          | READY  |
|                      |                                                            |                                                 | f2es49cpsep5btnp2vf0           |        |
| fd808e721rc1vt7jkd0o | ubuntu-20-04-lts-v20230626                                 | ubuntu-2004-lts                                 | f2e8r6k9f9dsnn65dcf8           | READY  |
| fd808t1bieogq81idtuh | almalinux-v20230529                                        | almalinux-8                                     | f2enrq8dgstia4bormhc           | READY  |
| fd8099smcnucft6isqj7 | debian-10-v20230424                                        | debian-10                                       | f2e1lislcq528cp3nhin           | READY  |
| fd809bfjomj9a1dngteo | ubuntu-16-04-lts-gpu-v20211206                             | ubuntu-1604-lts-gpu                             | f2efo8i2gnfjins8b304           | READY  |
| fd809iajm58srpgksuad | fotonsrv-kosmosbdent2019-v20230321                         | fotonsrv-kosmosbdent2019                        | f2ere8hdc1309edtn1pk           | READY  |
| fd80ampfrd5tnoev1rsg | debian-10-v20220509                                        | debian-10                                       | f2e2h0gkmd480n3trrfr           | READY  |
| fd80b7e80pkt1op2ov2a | jenkins-v20230814                                          | jenkins                                         | f2enbbll9r1qhqqdbs6m,          | READY  |
|                      |                                                            |                                                 | f2eqksnefoj743g3jk27           |        |
| fd80bavtgpncasaqurfs | alice-1541162564                                           | alice                                           | f2eah2atuuq702svv11a           | READY  |
| fd80bm0rh4rkepi5ksdi | ubuntu-22-04-lts-v20230925                                 | ubuntu-2204-lts                                 | f2e3vsap4cmi4pqk05lg           | READY  |
| fd80c9aa8hmbce9e59or | ubuntu-16-04-lts-v20231030                                 | ubuntu-1604-lts                                 | f2eepsb4dol0q549ihsi           | READY  |
| fd80d7fnvf399b1c207j | ubuntu-20-04-lts-gpu-v20220418                             | ubuntu-2004-lts-gpu                             | f2e3o9ihojuup985m8qc           | READY  |
| fd80dc6602lobjichn0r | ispmanager-ispmanager6-v20230925a                          | ispmanager-ispmanager6                          | f2epggm1rlcqa6t2sjn0,          | READY  |
|                      |                                                            |                                                 | f2enn1chbcbvfegk0qgf           |        |
| fd80e0dkdfanjg8n81pf | almalinux-9-v20221010                                      | almalinux-9                                     | f2eqburjsg0eb9cp71uk           | READY  |
| fd80eup4e4h7mmodr9d4 | debian-11-v20230612                                        | debian-11                                       | f2e76p0tbkeioqs1luk5           | READY  |
| fd80f8mhk83hmvp10vh2 | ubuntu-20-04-lts-v20230410                                 | ubuntu-2004-lts                                 | f2e30r1ufijrpg3clg22           | READY  |
| fd80fofg3v5itrba3mv2 | ubuntu-20-04-lts-gpu-a100-v20230424                        | ubuntu-2004-lts-a100                            | f2entor80u6k59ssfe7p           | READY  |
| fd80gd78j03j6do31ncn | drupal-8-v20230213                                         | drupal                                          | f2etva2v8tn2iufj62br,          | READY  |
|                      |                                                            |                                                 | f2eokm18lqng83m1koki           |        |
| fd80gg471rohofv004ps | bellsoft-axiom-jdk11-for-centos-v20230420                  | bellsoft-axiom-jdk11-for-centos                 | f2es3j9g93ko1lh7vdct,          | READY  |
|                      |                                                            |                                                 | f2e34ishaphdhrdddgj6           |        |
| fd80hlqju12ugj85cqhh | centos-stream-8-v20220519                                  | centos-stream-8                                 | f2e1mq918uqpmta5r7jr           | READY  |
| fd80hokdubc6pj50kvsd | centos-7-v20231106                                         | centos-7                                        | f2eklm5h6pkgdau7g8l2           | READY  |
| fd80ifmpaue5k0cmihbf | postgreprof-postgres-pro-enterprise-database-14-v20220620  | postgreprof-postgres-pro-enterprise-database-14 | f2e0mp0js4gslcogse2c,          | READY  |
|                      |                                                            |                                                 | f2eno1atv4fa9935se9k           |        |
| fd80iibe8asp4inkhuhr | debian-10-1582618028                                       | debian-10                                       | f2e581rjao9m2o4adjmg           | READY  |
| fd80iv4u4kfmtosnuhtt | jenkins-v20220829                                          | jenkins                                         | f2e9p2jq1clqj5onfi65,          | READY  |
|                      |                                                            |                                                 | f2e82m62kd032hrqpvkk           |        |
| fd80jdh4pvsj48qftb3d | ubuntu-18-04-lts-v20220704                                 | ubuntu-1804-lts                                 | f2epckha9kq6erl6c1c0           | READY  |
| fd80jfslq61mssea4ejn | ubuntu-20-04-lts-gpu-v20211217                             | ubuntu-2004-lts-gpu                             | f2epq8rrvl05qks529eh           | READY  |
| fd80jvq9352f2hnm6luq | ubuntu-16-04-lts-v20230925                                 | ubuntu-1604-lts                                 | f2em05j9ahdca5i8iltd           | READY  |
| fd80k1dbm3uq5ejjrle8 | fedora-35-v20230403                                        | fedora-35                                       | f2eh845lneeua1qsl4dd           | READY  |
| fd80ka14tq32cb3rs7ti | wordpress-v20230724                                        | wordpress                                       | f2en9va8tuevj5ls9ujh,          | READY  |
|                      |                                                            |                                                 | f2ef6jide8f1cj8dcbun           |        |
| fd80kfau3o38nvlptabc | ubuntu-2004-lts-gpu-cluster-v20230606                      | ubuntu-2004-lts-gpu-cluster                     | f2e4m6d5i8oqkr6qj257           | READY  |
| fd80l3igojs610mh1ndg | fedora-35-v20230109                                        | fedora-35                                       | f2ejajj2kikf5hlvl4tt           | READY  |
| fd80le4b8gt2u33lvubr | centos-7-v20211220                                         | centos-7                                        | f2eaujc3c3g545cncg0v           | READY  |
| fd80lh4u34p444cukq5h | ubuntu-18-04-lts-vgpu-v20211103                            | ubuntu-1804-lts-vgpu                            | f2eohifpk0koskk30i8b           | READY  |
| fd80lnp0srek01a7cpcu | ubuntu-20-04-lts-vgpu-v20211206                            | ubuntu-2004-lts-vgpu                            | f2e6lfo1lkjc7foq8t76           | READY  |
| fd80lqp9cp96q4nfae51 | container-optimized-image-1586329357                       | container-optimized-image                       | f2enhr48fnru5k4gd30r           | READY  |
| fd80m2h15krph9b36mfg | container-optimized-image-1567699175                       | container-optimized-image                       | f2e5i3c69q4vdui0agq5           | READY  |
| fd80mrhj8fl2oe87o4e1 | nat-instance-ubuntu-1559218207                             | nat-instance-ubuntu                             | f2ec86u5podbrqc04jij           | READY  |
| fd80mrpnqp56f1pe86hn | fedora-34-v20220110                                        | fedora-34                                       | f2e87eg9t5rc4i1mj4dp           | READY  |
| fd80mt7ido1ihfa64p4l | jenkins-v20230417                                          | jenkins                                         | f2eg4e3l1ck358g9dhqd,          | READY  |
|                      |                                                            |                                                 | f2e3p17k7rbo473o7u83           |        |
| fd80n1eo0em9gm2nvtb7 | centos-7-gpu-v20220425                                     | centos-7-gpu                                    | f2eqrmpdbkrg1gb9ntg3           | READY  |
| fd80o2eikcn22b229tsa | container-optimized-image-v20220204a                       | container-optimized-image                       | f2elf7186figj4p34at5           | READY  |
| fd80o5c17kbvdmcr2lu8 | centos-stream-8-v20230710                                  | centos-stream-8                                 | f2enkfno62o8lctfkqpn           | READY  |
| fd80o92ltt4rta16sn3g | lamp-v20230612                                             | lamp                                            | f2e98ndcktrqn26rh7cs,          | READY  |
|                      |                                                            |                                                 | f2ec78q58s9ldbp045h1           |        |
| fd80od21rjl4r3enr4sk | opencart-1613555947                                        | opencart                                        | f2en1f6vjc4t6tkmk28k           | READY  |
| fd80ohc7jpru43r272qp | ubuntu-18-04-lts-gpu-a100-v20220523                        | ubuntu-1804-lts-a100                            | f2e9sjdrqned6n1j3j2m           | READY  |
| fd80p1nk05or3kpdi9vm | lemp-v20230710                                             | lemp                                            | f2e2bd7vb18m2kbbhgqo,          | READY  |
|                      |                                                            |                                                 | f2e16mlfhackjgm6ukup           |        |
| fd80q8thppcn2vj74g9m | hystax-optscale-0-1-1631433360                             |                                                 | f2emk0sigaj3jnd9esmq           | READY  |
| fd80qcmbdni1a6dumlri | debian-9-v20220328                                         | debian-9                                        | f2e991sgbli1btgqq39v           | READY  |
| fd80qm01ah03dkqb14lc | ubuntu-20-04-lts-vgpu-v20211027                            | ubuntu-2004-lts-vgpu                            | f2ele5h01c3a6d5odmbi           | READY  |
| fd80r0j3nhblrj9tm4f5 | centos-stream-8-v20230814                                  | centos-stream-8                                 | f2eq5eh39g55um7dvelf           | READY  |
| fd80rnhvc47031anomed | centos-7-v20220613                                         | centos-7                                        | f2ed6g56rfbepn59jt09           | READY  |
| fd80rnllfuac702616hp | openvpn-access-server-v20221107                            | openvpn                                         | f2enb6fv6hsepuktqodc,          | READY  |
|                      |                                                            |                                                 | f2e82m62kd032hrqpvkk           |        |
| fd80rvvogidr5n4ds5dh | centos-stream-8-v20230717                                  | centos-stream-8                                 | f2e362ljvltqgs5h2sg7           | READY  |
| fd80sck00uh100at60tu | lamp-v20220124                                             | lamp                                            | f2e9cl78ru2imunods64,          | READY  |
|                      |                                                            |                                                 | f2ejfhfe5borfqsm87mn           |        |
| fd80sucdv9d54imo9pqo | debian-10-gpu-v20211124                                    | debian-10-gpu                                   | f2eja5o1qiqeue47viso           | READY  |
| fd80t3c9hmj304qplsn4 | opensuse-15-3-v20220131                                    | opensuse-15-3                                   | f2ef4s8ovp5pcuepm7su           | READY  |
| fd80tgmm4d988lkv2t8j | apache-airflow-2-0-v20220214                               | airflow-2x                                      | f2egi02vsbb6o8at1trk           | READY  |
| fd80tifnv1fon1fumm7e | ubuntu-18-04-lts-gpu-a100-v20230710                        | ubuntu-1804-lts-a100                            | f2es4tbtg12e5t6vofm9           | READY  |
| fd80u5tmpdpsvk6nsa7h | almalinux-9-v20221121                                      | almalinux-9                                     | f2ecvhpaha4re7u4p1da           | READY  |
| fd80ut9hsnv9aqrhvnlg | ubuntu-18-04-lts-vgpu-v20220613                            | ubuntu-1804-lts-vgpu                            | f2eqtonq033glt0ldddc           | READY  |
| fd80vffa3d48sgjc96a4 | openvpn-access-server-v20220228                            | openvpn                                         | f2e3fo2e61aar03r42qg,          | READY  |
|                      |                                                            |                                                 | f2ec4chk8lnbghkt9udc           |        |
| fd80viupr3qjr5g6g9du | ubuntu-1804-lts-1623345209                                 | ubuntu-1804-lts                                 | f2eflighfan5m00f4f2o           | READY  |
| fd81079beir245a5c78t | bellsoft-axiom-jdk11-for-ubuntu-v20230808                  | bellsoft-axiom-jdk11-for-ubuntu                 | f2e5qrjqk34n7mm92dv3,          | READY  |
|                      |                                                            |                                                 | f2ekr4l65qgn5bmt4tbk           |        |
| fd810t704rrlgl4ruac3 | fedora-35-v20230717                                        | fedora-35                                       | f2ebf8o7gbhanmnqhmi7           | READY  |
| fd811j7mh7k3i7m7dkl6 | openvpn-access-server-v20220801a                           | openvpn                                         | f2eglb0cmad5f430upki,          | READY  |
|                      |                                                            |                                                 | f2er5eujugm9jmrotcg5           |        |
| fd811ke2vnjc423tj8ji | centos-7-v20231120                                         | centos-7                                        | f2ee1akm3mjpud053n6e           | READY  |
| fd812hcj5cbdt7238g2o | debian-10-v20230410                                        | debian-10                                       | f2edvnpalo1nsjrq6mhl           | READY  |
| fd8138uobkdj7p9l58h6 | wordpress-v20220516                                        | wordpress                                       | f2erqeac9eq2kmct92rf,          | READY  |
|                      |                                                            |                                                 | f2ecfju2g0fri0pesgeq           |        |
| fd8147b0sdqks2ntcgi8 | openvpn-access-server-v20220404                            | openvpn                                         | f2et4e2o8gjda0dnpp7j,          | READY  |
|                      |                                                            |                                                 | f2erc720ka9emi0bglk9           |        |
| fd814fob761bvn30ta01 | ubuntu-18-04-lts-v20230501                                 | ubuntu-1804-lts                                 | f2esv771rfdv8d4o446o           | READY  |
| fd814k6nlgobk70klpjn | ubuntu-20-04-lts-gpu-v20211006                             | ubuntu-2004-lts-gpu                             | f2ekc6jvitdriv4oefho           | READY  |
| fd8150bnq4vpj62g6sq8 | pentestit-nwaf-mlc-v20230215                               | pentestit-nwaf-mlc                              | f2ebrfqc17qgscmgt90l,          | READY  |
|                      |                                                            |                                                 | f2en2qqan063u407f37v           |        |
| fd8151sv1q69mchl804a | centos-stream-8-v20230109                                  | centos-stream-8                                 | f2euheaeklba0t1tq5b2           | READY  |
| fd8168fc4mc06201ktem | nat-instance-ubuntu-18-04-lts-v20230626                    | nat-instance-ubuntu                             | f2e6tm7oronv6p7meo9g,          | READY  |
|                      |                                                            |                                                 | f2ej4n74ldujruvh4c41           |        |
| fd8169srg2i3hp51p56g | centos-stream-8-v20221205                                  | centos-stream-8                                 | f2etm1pqieseafh9p5q2           | READY  |
| fd816g7v6kso22l4o3rr | hystax-acura-dr-3-8-1933-181021-1634741883                 |                                                 | f2es9il5mocaih3r5u3e           | READY  |
| fd816jiq3n13qtli6fh3 | centos-stream-8-v20221128                                  | centos-stream-8                                 | f2enn32u8r95euck8fk8           | READY  |
| fd816r0lmfvlh6r9uos5 | ubuntu-20-04-lts-gpu-a100-v20220502                        | ubuntu-2004-lts-a100                            | f2ecipfqv6n3erhli1h2           | READY  |
| fd8174cmdehaoffu35s2 | ubuntu-18-04-lts-vgpu-v20211110                            | ubuntu-1804-lts-vgpu                            | f2euuts9dpeutucuq2bl           | READY  |
| fd8177ttrp7i4qqc75d6 | ubuntu-16-04-lts-v20220801                                 | ubuntu-1604-lts                                 | f2ecpcbp45o1o65rnqk5           | READY  |
